DateID,Month,Year,Category,AirPassengers
1,January,1949,A,112
1,January,1949,B,170
2,February,1949,A,118
2,February,1949,B,179
3,March,1949,A,132
3,March,1949,B,200
4,April,1949,A,129
4,April,1949,B,195.5
5,May,1949,A,121
5,May,1949,B,183.5
6,June,1949,A,135
6,June,1949,B,204.5
7,July,1949,A,148
7,July,1949,B,224
8,August,1949,A,148
8,August,1949,B,224
9,September,1949,A,136
9,September,1949,B,206
10,October,1949,A,119
10,October,1949,B,180.5
11,November,1949,A,104
11,November,1949,B,158
12,December,1949,A,118
12,December,1949,B,179
13,January,1950,A,115
13,January,1950,B,174.5
14,February,1950,A,126
14,February,1950,B,191
15,March,1950,A,141
15,March,1950,B,213.5
16,April,1950,A,135
16,April,1950,B,204.5
17,May,1950,A,125
17,May,1950,B,189.5
18,June,1950,A,149
18,June,1950,B,225.5
19,July,1950,A,170
19,July,1950,B,257
20,August,1950,A,170
20,August,1950,B,257
21,September,1950,A,158
21,September,1950,B,239
22,October,1950,A,133
22,October,1950,B,201.5
23,November,1950,A,114
23,November,1950,B,173
24,December,1950,A,140
24,December,1950,B,212
25,January,1951,A,145
25,January,1951,B,219.5
26,February,1951,A,150
26,February,1951,B,227
27,March,1951,A,178
27,March,1951,B,269
28,April,1951,A,163
28,April,1951,B,246.5
29,May,1951,A,172
29,May,1951,B,260
30,June,1951,A,178
30,June,1951,B,269
31,July,1951,A,199
31,July,1951,B,300.5
32,August,1951,A,199
32,August,1951,B,300.5
33,September,1951,A,184
33,September,1951,B,278
34,October,1951,A,162
34,October,1951,B,245
35,November,1951,A,146
35,November,1951,B,221
36,December,1951,A,166
36,December,1951,B,251
37,January,1952,A,171
37,January,1952,B,258.5
38,February,1952,A,180
38,February,1952,B,272
39,March,1952,A,193
39,March,1952,B,291.5
40,April,1952,A,181
40,April,1952,B,273.5
41,May,1952,A,183
41,May,1952,B,276.5
42,June,1952,A,218
42,June,1952,B,329
43,July,1952,A,230
43,July,1952,B,347
44,August,1952,A,242
44,August,1952,B,365
45,September,1952,A,209
45,September,1952,B,315.5
46,October,1952,A,191
46,October,1952,B,288.5
47,November,1952,A,172
47,November,1952,B,260
48,December,1952,A,194
48,December,1952,B,293
49,January,1953,A,196
49,January,1953,B,296
50,February,1953,A,196
50,February,1953,B,296
51,March,1953,A,236
51,March,1953,B,356
52,April,1953,A,235
52,April,1953,B,354.5
53,May,1953,A,229
53,May,1953,B,345.5
54,June,1953,A,243
54,June,1953,B,366.5
55,July,1953,A,264
55,July,1953,B,398
56,August,1953,A,272
56,August,1953,B,410
57,September,1953,A,237
57,September,1953,B,357.5
58,October,1953,A,211
58,October,1953,B,318.5
59,November,1953,A,180
59,November,1953,B,272
60,December,1953,A,201
60,December,1953,B,303.5
61,January,1954,A,204
61,January,1954,B,308
62,February,1954,A,188
62,February,1954,B,284
63,March,1954,A,235
63,March,1954,B,354.5
64,April,1954,A,227
64,April,1954,B,342.5
65,May,1954,A,234
65,May,1954,B,353
66,June,1954,A,264
66,June,1954,B,398
67,July,1954,A,302
67,July,1954,B,455
68,August,1954,A,293
68,August,1954,B,441.5
69,September,1954,A,259
69,September,1954,B,390.5
70,October,1954,A,229
70,October,1954,B,345.5
71,November,1954,A,203
71,November,1954,B,306.5
72,December,1954,A,229
72,December,1954,B,345.5
73,January,1955,A,242
73,January,1955,B,365
74,February,1955,A,233
74,February,1955,B,351.5
75,March,1955,A,267
75,March,1955,B,402.5
76,April,1955,A,269
76,April,1955,B,405.5
77,May,1955,A,270
77,May,1955,B,407
78,June,1955,A,315
78,June,1955,B,474.5
79,July,1955,A,364
79,July,1955,B,548
80,August,1955,A,347
80,August,1955,B,522.5
81,September,1955,A,312
81,September,1955,B,470
82,October,1955,A,274
82,October,1955,B,413
83,November,1955,A,237
83,November,1955,B,357.5
84,December,1955,A,278
84,December,1955,B,419
85,January,1956,A,284
85,January,1956,B,428
86,February,1956,A,277
86,February,1956,B,417.5
87,March,1956,A,317
87,March,1956,B,477.5
88,April,1956,A,313
88,April,1956,B,471.5
89,May,1956,A,318
89,May,1956,B,479
90,June,1956,A,374
90,June,1956,B,563
91,July,1956,A,413
91,July,1956,B,621.5
92,August,1956,A,405
92,August,1956,B,609.5
93,September,1956,A,355
93,September,1956,B,534.5
94,October,1956,A,306
94,October,1956,B,461
95,November,1956,A,271
95,November,1956,B,408.5
96,December,1956,A,306
96,December,1956,B,461
97,January,1957,A,315
97,January,1957,B,474.5
98,February,1957,A,301
98,February,1957,B,453.5
99,March,1957,A,356
99,March,1957,B,536
100,April,1957,A,348
100,April,1957,B,524
101,May,1957,A,355
101,May,1957,B,534.5
102,June,1957,A,422
102,June,1957,B,635
103,July,1957,A,465
103,July,1957,B,699.5
104,August,1957,A,467
104,August,1957,B,702.5
105,September,1957,A,404
105,September,1957,B,608
106,October,1957,A,347
106,October,1957,B,522.5
107,November,1957,A,305
107,November,1957,B,459.5
108,December,1957,A,336
108,December,1957,B,506
109,January,1958,A,340
109,January,1958,B,512
110,February,1958,A,318
110,February,1958,B,479
111,March,1958,A,362
111,March,1958,B,545
112,April,1958,A,348
112,April,1958,B,524
113,May,1958,A,363
113,May,1958,B,546.5
114,June,1958,A,435
114,June,1958,B,654.5
115,July,1958,A,491
115,July,1958,B,738.5
116,August,1958,A,505
116,August,1958,B,759.5
117,September,1958,A,404
117,September,1958,B,608
118,October,1958,A,359
118,October,1958,B,540.5
119,November,1958,A,310
119,November,1958,B,467
120,December,1958,A,337
120,December,1958,B,507.5
121,January,1959,A,360
121,January,1959,B,542
122,February,1959,A,342
122,February,1959,B,515
123,March,1959,A,406
123,March,1959,B,611
124,April,1959,A,396
124,April,1959,B,596
125,May,1959,A,420
125,May,1959,B,632
126,June,1959,A,472
126,June,1959,B,710
127,July,1959,A,548
127,July,1959,B,824
128,August,1959,A,559
128,August,1959,B,840.5
129,September,1959,A,463
129,September,1959,B,696.5
130,October,1959,A,407
130,October,1959,B,612.5
131,November,1959,A,362
131,November,1959,B,545
132,December,1959,A,405
132,December,1959,B,609.5
133,January,1960,A,417
133,January,1960,B,627.5
134,February,1960,A,391
134,February,1960,B,588.5
135,March,1960,A,419
135,March,1960,B,630.5
136,April,1960,A,461
136,April,1960,B,693.5
137,May,1960,A,472
137,May,1960,B,710
138,June,1960,A,535
138,June,1960,B,804.5
139,July,1960,A,622
139,July,1960,B,935
140,August,1960,A,606
140,August,1960,B,911
141,September,1960,A,508
141,September,1960,B,764
142,October,1960,A,461
142,October,1960,B,693.5
143,November,1960,A,390
143,November,1960,B,587
144,December,1960,A,432
144,December,1960,B,650
