Rank,State,Abbreviation,Pop1980,Pop1990
1,California,CA,23669000,29760021
2,New York,NY,17557000,17990455
3,Texas,TX,14228000,16986510
4,Florida,FL,9739000,12937926
5,Pennsylvania,PA,11867000,11881643
6,Illinois,IL,11419000,11430602
7,Ohio,OH,10797000,10847115
8,Michigan,MI,9259000,9295297
9,New Jersey,NJ,7364000,7730188
10,North Carolina,NC,5874000,6628637
11,Georgia,GA,5464000,6478216
12,Virginia,VA,5346000,6187358
13,Massachusetts,MA,5737000,6016425
14,Indiana,IN,5491000,5544159
15,Missouri,MO,4917000,5117073
16,Wisconsin,WI,4706000,4891769
17,Tennessee,TN,4591000,4877185
18,Washington,WA,4130000,4866692
19,Maryland,MD,4216000,4781468
20,Minnesota,MN,4077000,4375099
21,Louisiana,LA,4203000,4219973
22,Alabama,AL,3891000,4040587
23,Kentucky,KY,3661000,3685296
24,Arizona,AZ,2718000,3665228
25,South Carolina,SC,3119000,3486703
26,Colorado,CO,2890000,3294394
27,Connecticut,CT,3107000,3287116
28,Oklahoma,OK,3026000,3145585
29,Oregon,OR,2632000,2842321
30,Iowa,IA,2914000,2776755
31,Mississippi,MS,2520000,2573216
32,Kansas,KS,2363000,2477574
33,Arkansas,AR,2285000,2350725
34,West Virginia,WV,1950000,1793477
35,Utah,UT,1461000,1722850
36,Nebraska,NE,1570000,1578385
37,New Mexico,NM,1299000,1515069
38,Maine,ME,1125000,1227928
39,Nevada,NV,799000,1201833
40,New Hampshire,NH,921000,1109252
41,Hawaii,HI,985000,1108229
42,Idaho,ID,945000,1006749
43,Rhode Island,RI,948000,1003464
44,Montana,MT,787000,799065
45,South Dakota,SD,690000,696004
46,Delaware,DE,596000,666168
47,North Dakota,ND,654000,638800
N/A,District of Columbia,DC,638000,606900
48,Vermont,VT,512000,562758
49,Alaska,AK,400000,550043
50,Wyoming,WY,471000,453588
