county,state,msa,pmsa,popdensity,pop,popchange,age6574,age75,crime,college,income,farm,democrat,republican,Perot,white,black,turnout
Autauga,AL,5240,,61,34222,11.89999962,5.699999809,4.099999905,4996,14.5,32240,1.799999952,30.89999962,55.90000153,12.30000019,79.31739807,20.00175285,45.5408783
Baldwin,AL,5160,,67,98280,35.40000153,9.199999809,6,3329,16.79999924,30199,1.700000048,26.20000076,56.5,16.5,86.04497528,12.86121273,47.28937912
Barbour,AL,,,29,25417,2,8.199999809,6.400000095,3192,11.80000019,23838,2.400000095,46.40000153,42.90000153,9.800000191,55.54550171,44.04138947,41.03946304
Bibb,AL,,,28,16576,9.199999809,6.699999809,6,0,4.699999809,23714,0.899999976,43.20000076,46.5,10.19999981,78.74034882,20.9821434,40.54053879
Blount,AL,1000,,62,39248,10.60000038,7.400000095,5.599999905,2052,7,26323,4.699999809,32.90000153,53.79999924,11.80000019,97.8317337,1.327456117,42.05309677
Bullock,AL,,,18,11042,3.700000048,8.5,7.599999905,3630,10,17796,2.599999905,67.69999695,26,5.5,27.49501991,72.32385254,43.61528778
Butler,AL,,,28,21892,0.100000001,8.800000191,8,3530,8,21499,3.5,47.40000153,41.20000076,10.19999981,59.60625076,40.18819809,38.72647476
Calhoun,AL,450,,191,116034,-2.799999952,7.400000095,5,4174,14.19999981,28340,0.699999988,38.40000153,48.20000076,11,80.03947449,18.59627342,36.88574219
Chambers,AL,,,62,36876,-6,9.199999809,7.699999809,3173,8.899999619,26331,1.200000048,45.40000153,43.40000153,10.89999962,63.93046951,35.85258865,35.50005341
Cherokee,AL,,,36,19543,5.900000095,8.899999619,5.800000191,3223,6.699999809,24932,3.900000095,53.59999847,34.90000153,10.69999981,92.89259338,6.605946064,40.30087662
Chilton,AL,,,48,32458,8.5,7.800000191,6.099999905,3367,7.5,26203,3,34.20000076,56.20000076,9.399999619,88.25867462,11.31924343,44.57452774
Choctaw,AL,,,18,16018,-4.199999809,7.5,6.400000095,419,8.5,23609,3.400000095,52.09999847,40.59999847,6.5,55.64365005,44.18154526,47.19690323
Clarke,AL,,,22,27240,0.100000001,7.099999905,6,3828,10.80000019,23080,1.700000048,42.90000153,46.90000153,7.400000095,57.00073242,42.67621231,43.01395035
Clay,AL,,,22,13252,-2.700000048,8.600000381,8.300000191,298,7.300000191,24145,4.199999809,36,49.70000076,11.30000019,83.33836365,16.34470177,43.42740631
Cleburne,AL,,,23,12730,3.099999905,7.699999809,5.699999809,1623,6.5,25900,4.699999809,40.90000153,46.29999924,12,94.92537689,4.611154556,41.1390419
Coffee,AL,,,61,40240,6.800000191,7.599999905,5.599999905,2582,16.5,27653,3.5,37.20000076,48.90000153,13,81.26739502,17.18936348,38.60089493
Colbert,AL,2650,,88,51666,-3.799999952,9,5.699999809,3441,11.5,27862,1.399999976,54.40000153,36,9.300000191,82.87848663,16.58343887,43.4308815
Conecuh,AL,,,17,14054,-11.19999981,9.300000191,8,2306,6.400000095,21231,2.599999905,50,39.09999847,8.800000191,57.37156677,42.15881729,44.87690353
Coosa,AL,,,17,11063,-2.599999905,8.300000191,6.199999809,3019,6.300000191,23472,4.300000191,48.59999847,41.09999847,9.899999619,65.46144867,34.18602371,43.36979294
Covington,AL,,,36,36478,-0.200000003,9.5,7.699999809,6519,9.100000381,23257,4,35.79999924,49,13.5,86.4932251,13.09556484,38.2751236
Crenshaw,AL,,,22,13635,-4.599999905,10,8.300000191,2114,8.399999619,21368,6.599999905,45.40000153,44.20000076,9.199999809,73.69270325,25.99193192,38.79721451
Cullman,AL,,,94,67613,13.19999981,8.199999809,6.199999809,2390,7.800000191,25856,4.199999809,36,49.59999847,14.19999981,98.71474457,0.828243077,42.95475769
Dale,AL,2180,,89,49633,4.400000095,5.5,3.900000095,2242,13.5,27585,1.5,32.29999924,51.5,15.30000019,79.31214905,17.82483482,31.80746651
Dallas,AL,,,49,48130,-11,7.5,6.199999809,7685,12.19999981,20517,0.800000012,56.40000153,37.70000076,5.699999809,41.80552673,57.81217575,40.73135376
De Kalb,AL,,,72,54651,4.199999809,8.199999809,6.400000095,1248,7.099999905,24836,5.199999809,38.20000076,48.70000076,12.69999981,96.94241333,1.881026864,39.49607468
Elmore,AL,5240,,84,49210,21,6.699999809,5,3990,12.80000019,30853,2,30.5,55.70000076,13.60000038,76.91526031,22.43243217,41.43060303
Escambia,AL,,,38,35518,-6.300000191,7.599999905,6.300000191,1297,7.599999905,22858,1.5,37.5,46.40000153,12.60000038,68.48921967,28.28425026,36.1056366
Etowah,AL,2880,,187,99840,-3.099999905,9.399999619,6.5,6506,10.19999981,27071,0.899999976,48.40000153,41.09999847,10.10000038,85.41065979,13.82111359,42.51903152
Fayette,AL,,,29,17962,-4.099999905,8.600000381,7.699999809,1964,8.5,26002,1.700000048,45.20000076,42.59999847,11.89999962,87.50138855,12.19240665,47.15510559
Franklin,AL,,,45,27814,0.400000006,8.600000381,6.800000191,1528,6.900000095,22755,4.099999905,50.20000076,40.40000153,9.100000381,95.14273071,4.490544319,42.63320541
Geneva,AL,,,42,23647,-0.899999976,9.199999809,7.599999905,1254,6.800000191,24989,5.800000191,36.70000076,49.09999847,13.39999962,87.46141052,11.94231796,41.72622299
Greene,AL,,,16,10153,-7.400000095,7.400000095,8.199999809,4049,10.39999962,15663,4.699999809,79.19999695,16.5,4,19.3637352,80.57717133,48.07445908
Hale,AL,,,25,15498,1.600000024,8.300000191,7.699999809,1645,8.899999619,18272,4.599999905,57.79999924,33.20000076,8.100000381,40.36004639,59.45283127,38.86307907
Henry,AL,,,28,15374,1.700000048,9,7.300000191,3471,8.199999809,27554,3.900000095,43.09999847,45.70000076,10.30000019,64.51151276,35.09171295,42.27266693
Houston,AL,2180,,144,81331,11.69999981,7.300000191,5.099999905,8269,15,29818,1.5,29.79999924,58.29999924,11.69999981,75.63290405,23.30476761,36.59121323
Jackson,AL,,,45,47796,-4.699999809,7.5,5.099999905,2465,8,25772,2.599999905,56.20000076,30.20000076,13,93.51409912,4.117499352,39.57653427
Jefferson,AL,1000,,591,651525,-2,8,6,8487,19.89999962,31609,0.100000001,42.09999847,50.09999847,7.400000095,64.20582581,35.07478714,45.87452698
Lamar,AL,,,26,15715,-5.099999905,8.199999809,7.5,0,6.199999809,25506,3.200000048,41.29999924,47.29999924,11.10000038,87.8460083,11.8485527,43.89436722
Lauderdale,AL,2650,,122,79661,1.600000024,8.399999619,5.900000095,3419,16.39999962,29589,2,47.20000076,40.70000076,11.89999962,89.83065796,9.659683228,42.37456131
Lawrence,AL,2030,,46,31513,6.800000191,7,4.900000095,1601,6.199999809,25478,4.699999809,54.90000153,30.89999962,14,77.94561005,15.22546291,36.77529907
Lee,AL,,,148,87146,17.79999924,5,3.599999905,4879,25.29999924,32596,1.100000024,38.79999924,47.59999847,12.89999962,74.46009827,23.41702461,40.72476196
Limestone,AL,3440,,100,54135,23.5,6.5,4.800000191,1922,13.80000019,31739,2.400000095,37.40000153,45.70000076,16.60000038,86.18823242,13.16523552,39.89470673
Lowndes,AL,,,18,12658,-4.199999809,6.699999809,6,2108,8.199999809,18535,4.599999905,68,25.79999924,5.5,25.16195297,74.70374298,40.66993332
Macon,AL,,,40,24928,-9,8.399999619,6.900000095,6252,18,20096,2.799999952,82.80000305,12.89999962,3.200000048,13.81177807,85.60654449,35.14923096
Madison,AL,3440,,312,238912,27.5,5.599999905,3.299999952,2752,30.10000038,39264,0.600000024,36.09999847,47.70000076,15.80000019,77.09825897,20.13963318,45.13544846
Marengo,AL,,,24,23084,-7.300000191,7.699999809,6.900000095,3680,11.5,23015,1.899999976,50.09999847,39.79999924,8.199999809,49.0123024,50.87939835,48.70906067
Marion,AL,,,40,29830,-1.200000048,8.199999809,7,955,6.699999809,22394,2.299999952,46.5,42.90000153,10.5,96.40965271,3.241703033,44.48541641
Marshall,AL,,,130,70832,12,8.100000381,5.900000095,3147,11.5,26135,2.200000048,39,45.79999924,14.19999981,97.92325592,1.534617066,37.71882629
Mobile,AL,5160,,316,378643,6.599999905,7,4.800000191,11758,15.5,27601,0.400000006,38.20000076,50.70000076,10.5,67.30693817,31.13011551,37.97455597
Monroe,AL,,,23,23968,6,7.099999905,6.099999905,2684,10.80000019,26413,3.700000048,39.70000076,50.5,7.800000191,59.74633026,39.1021347,40.6583786
